produto_id,nome_produto,categoria_produto,subcategoria_produto,publico_alvo,risco,taxa_base_anual,tarifa_manutencao_mensal,saldo_minimo,prazo_liquidez_dias,permite_aplicacao_digital,permite_resgate_digital,ativo,data_lancamento,descricao_curta
PRD0001,Conta Digital Essencial,conta_corrente,conta_digital,varejo,baixo,14.76,17.45,0.00,0,false,false,true,2019-03-02,Conta Digital Essencial com foco em varejo e suporte ao segmento conta corrente.
PRD0002,Conta Premium Signature,conta_corrente,conta_premium,alta_renda,baixo,16.17,0.00,6455.20,0,false,false,true,2023-12-21,Conta Premium Signature com foco em alta_renda e suporte ao segmento conta corrente.
PRD0003,Cartao Gold Mais,cartao_credito,cartao_gold,varejo,medio,14.28,21.93,0.00,11,false,false,true,2018-09-06,Cartao Gold Mais com foco em varejo e suporte ao segmento cartao credito.
PRD0004,Cartao Black Infinite,cartao_credito,cartao_black,private,medio,10.27,1.72,13409.39,30,false,false,true,2021-10-30,Cartao Black Infinite com foco em private e suporte ao segmento cartao credito.
PRD0005,CDB Liquidez Diaria,investimento_renda_fixa,cdb,varejo,baixo,12.18,8.44,0.00,0,true,true,true,2024-01-06,CDB Liquidez Diaria com foco em varejo e suporte ao segmento investimento renda fixa.
PRD0006,LCI Safra Flex,investimento_renda_fixa,lci_lca,alta_renda,baixo,20.38,32.69,16002.41,27,true,true,true,2023-12-16,LCI Safra Flex com foco em alta_renda e suporte ao segmento investimento renda fixa.
PRD0007,Fundo Multi Estrategia,investimento_fundos,fundo_multimercado,alta_renda,medio,16.57,42.55,16444.84,18,true,true,true,2022-06-28,Fundo Multi Estrategia com foco em alta_renda e suporte ao segmento investimento fundos.
PRD0008,Fundo Renda Fixa Horizonte,investimento_fundos,fundo_rf,varejo,baixo,10.92,12.93,0.00,28,true,true,false,2024-05-11,Fundo Renda Fixa Horizonte com foco em varejo e suporte ao segmento investimento fundos.
PRD0009,Previdencia Futuro PGBL,previdencia,previdencia_pgb,alta_renda,medio,21.44,13.79,22435.50,26,false,false,true,2019-08-27,Previdencia Futuro PGBL com foco em alta_renda e suporte ao segmento previdencia.
PRD0010,Previdencia Futuro VGBL,previdencia,previdencia_vgb,varejo,medio,12.26,59.38,0.00,18,false,false,true,2019-12-10,Previdencia Futuro VGBL com foco em varejo e suporte ao segmento previdencia.
PRD0011,Credito Pessoal Flex,credito_pessoal,emprestimo_pf,varejo,alto,10.78,15.98,0.00,7,false,false,true,2020-11-15,Credito Pessoal Flex com foco em varejo e suporte ao segmento credito pessoal.
PRD0012,Capital de Giro Pro,credito_empresarial,capital_giro_pj,empreendedor,alto,19.62,17.89,3492.00,22,false,false,false,2022-03-14,Capital de Giro Pro com foco em empreendedor e suporte ao segmento credito empresarial.
PRD0013,Cambio Digital Global,cambio,cambio_digital,alta_renda,medio,13.64,28.98,4874.81,7,true,false,true,2026-01-10,Cambio Digital Global com foco em alta_renda e suporte ao segmento cambio.
PRD0014,Seguro Vida Protecao,seguros,seguro_vida,varejo,baixo,6.87,19.75,0.00,11,false,false,true,2023-02-06,Seguro Vida Protecao com foco em varejo e suporte ao segmento seguros.
PRD0015,Seguro Residencial Plus,seguros,seguro_residencial,alta_renda,baixo,16.90,1.83,2506.17,12,false,false,true,2024-08-31,Seguro Residencial Plus com foco em alta_renda e suporte ao segmento seguros.
PRD0016,Atendimento Signature,atendimento_premium,gerente_dedicado,private,baixo,13.40,15.38,5539.98,16,false,false,true,2024-10-01,Atendimento Signature com foco em private e suporte ao segmento atendimento premium.
PRD0017,Conta Digital Essencial 2,conta_corrente,conta_digital,varejo,baixo,19.34,53.14,0.00,0,false,false,true,2024-10-01,Conta Digital Essencial 2 com foco em varejo e suporte ao segmento conta corrente.
PRD0018,Conta Premium Signature 2,conta_corrente,conta_premium,alta_renda,baixo,8.02,0.00,20696.79,0,false,false,true,2026-01-30,Conta Premium Signature 2 com foco em alta_renda e suporte ao segmento conta corrente.
PRD0019,Cartao Gold Mais 2,cartao_credito,cartao_gold,varejo,medio,17.81,48.42,0.00,25,false,false,true,2024-09-23,Cartao Gold Mais 2 com foco em varejo e suporte ao segmento cartao credito.
PRD0020,Cartao Black Infinite 2,cartao_credito,cartao_black,private,medio,18.71,6.27,7322.00,1,false,false,true,2022-09-12,Cartao Black Infinite 2 com foco em private e suporte ao segmento cartao credito.
PRD0021,CDB Liquidez Diaria 2,investimento_renda_fixa,cdb,varejo,baixo,17.04,7.88,0.00,0,true,true,true,2022-02-11,CDB Liquidez Diaria 2 com foco em varejo e suporte ao segmento investimento renda fixa.
PRD0022,LCI Safra Flex 2,investimento_renda_fixa,lci_lca,alta_renda,baixo,16.30,68.54,19470.37,26,true,true,true,2024-08-27,LCI Safra Flex 2 com foco em alta_renda e suporte ao segmento investimento renda fixa.
PRD0023,Fundo Multi Estrategia 2,investimento_fundos,fundo_multimercado,alta_renda,medio,6.76,13.43,1524.12,15,true,true,true,2019-07-26,Fundo Multi Estrategia 2 com foco em alta_renda e suporte ao segmento investimento fundos.
PRD0024,Fundo Renda Fixa Horizonte 2,investimento_fundos,fundo_rf,varejo,baixo,10.02,58.37,0.00,2,true,true,true,2025-09-02,Fundo Renda Fixa Horizonte 2 com foco em varejo e suporte ao segmento investimento fundos.
PRD0025,Previdencia Futuro PGBL 2,previdencia,previdencia_pgb,alta_renda,medio,10.93,64.44,22454.64,14,false,false,true,2019-09-26,Previdencia Futuro PGBL 2 com foco em alta_renda e suporte ao segmento previdencia.
PRD0026,Previdencia Futuro VGBL 2,previdencia,previdencia_vgb,varejo,medio,19.45,19.27,0.00,21,false,false,true,2020-07-31,Previdencia Futuro VGBL 2 com foco em varejo e suporte ao segmento previdencia.
PRD0027,Credito Pessoal Flex 2,credito_pessoal,emprestimo_pf,varejo,alto,9.23,16.96,0.00,7,false,false,true,2020-07-08,Credito Pessoal Flex 2 com foco em varejo e suporte ao segmento credito pessoal.
PRD0028,Capital de Giro Pro 2,credito_empresarial,capital_giro_pj,empreendedor,alto,17.11,36.05,11160.47,11,false,false,true,2019-01-17,Capital de Giro Pro 2 com foco em empreendedor e suporte ao segmento credito empresarial.
PRD0029,Cambio Digital Global 2,cambio,cambio_digital,alta_renda,medio,19.28,8.36,5637.25,12,true,false,true,2025-07-08,Cambio Digital Global 2 com foco em alta_renda e suporte ao segmento cambio.
PRD0030,Seguro Vida Protecao 2,seguros,seguro_vida,varejo,baixo,16.92,8.04,0.00,11,false,false,true,2022-11-19,Seguro Vida Protecao 2 com foco em varejo e suporte ao segmento seguros.
PRD0031,Seguro Residencial Plus 2,seguros,seguro_residencial,alta_renda,baixo,7.31,8.19,20460.81,21,false,false,true,2019-07-08,Seguro Residencial Plus 2 com foco em alta_renda e suporte ao segmento seguros.
PRD0032,Atendimento Signature 2,atendimento_premium,gerente_dedicado,private,baixo,7.14,60.16,5851.58,24,false,false,true,2018-03-26,Atendimento Signature 2 com foco em private e suporte ao segmento atendimento premium.
PRD0033,Conta Digital Essencial 3,conta_corrente,conta_digital,varejo,baixo,22.30,52.18,0.00,0,false,false,true,2021-05-05,Conta Digital Essencial 3 com foco em varejo e suporte ao segmento conta corrente.
PRD0034,Conta Premium Signature 3,conta_corrente,conta_premium,alta_renda,baixo,10.81,0.00,15701.17,0,false,false,true,2021-08-06,Conta Premium Signature 3 com foco em alta_renda e suporte ao segmento conta corrente.
PRD0035,Cartao Gold Mais 3,cartao_credito,cartao_gold,varejo,medio,16.66,7.88,0.00,7,false,false,true,2025-11-09,Cartao Gold Mais 3 com foco em varejo e suporte ao segmento cartao credito.
PRD0036,Cartao Black Infinite 3,cartao_credito,cartao_black,private,medio,19.58,20.24,15665.85,19,false,false,true,2021-06-19,Cartao Black Infinite 3 com foco em private e suporte ao segmento cartao credito.
PRD0037,CDB Liquidez Diaria 3,investimento_renda_fixa,cdb,varejo,baixo,12.29,66.38,0.00,0,true,true,true,2020-07-11,CDB Liquidez Diaria 3 com foco em varejo e suporte ao segmento investimento renda fixa.
PRD0038,LCI Safra Flex 3,investimento_renda_fixa,lci_lca,alta_renda,baixo,8.26,14.10,11208.78,3,true,true,true,2025-09-14,LCI Safra Flex 3 com foco em alta_renda e suporte ao segmento investimento renda fixa.
PRD0039,Fundo Multi Estrategia 3,investimento_fundos,fundo_multimercado,alta_renda,medio,6.36,0.41,9329.83,22,true,true,true,2018-03-14,Fundo Multi Estrategia 3 com foco em alta_renda e suporte ao segmento investimento fundos.
PRD0040,Fundo Renda Fixa Horizonte 3,investimento_fundos,fundo_rf,varejo,baixo,13.57,22.06,0.00,14,true,true,true,2023-02-05,Fundo Renda Fixa Horizonte 3 com foco em varejo e suporte ao segmento investimento fundos.
PRD0041,Previdencia Futuro PGBL 3,previdencia,previdencia_pgb,alta_renda,medio,7.31,21.04,20570.77,18,false,false,true,2021-02-16,Previdencia Futuro PGBL 3 com foco em alta_renda e suporte ao segmento previdencia.
PRD0042,Previdencia Futuro VGBL 3,previdencia,previdencia_vgb,varejo,medio,7.80,35.14,0.00,26,false,false,true,2024-10-29,Previdencia Futuro VGBL 3 com foco em varejo e suporte ao segmento previdencia.
PRD0043,Credito Pessoal Flex 3,credito_pessoal,emprestimo_pf,varejo,alto,8.26,42.07,0.00,19,false,false,true,2025-04-20,Credito Pessoal Flex 3 com foco em varejo e suporte ao segmento credito pessoal.
PRD0044,Capital de Giro Pro 3,credito_empresarial,capital_giro_pj,empreendedor,alto,10.91,30.77,18054.33,2,false,false,false,2018-04-22,Capital de Giro Pro 3 com foco em empreendedor e suporte ao segmento credito empresarial.
PRD0045,Cambio Digital Global 3,cambio,cambio_digital,alta_renda,medio,10.80,30.68,13118.38,29,true,false,false,2018-04-16,Cambio Digital Global 3 com foco em alta_renda e suporte ao segmento cambio.
PRD0046,Seguro Vida Protecao 3,seguros,seguro_vida,varejo,baixo,16.42,56.22,0.00,29,false,false,true,2024-02-20,Seguro Vida Protecao 3 com foco em varejo e suporte ao segmento seguros.
PRD0047,Seguro Residencial Plus 3,seguros,seguro_residencial,alta_renda,baixo,19.48,61.23,9168.72,26,false,false,true,2019-09-07,Seguro Residencial Plus 3 com foco em alta_renda e suporte ao segmento seguros.
PRD0048,Atendimento Signature 3,atendimento_premium,gerente_dedicado,private,baixo,13.13,36.26,2310.62,10,false,false,false,2025-10-25,Atendimento Signature 3 com foco em private e suporte ao segmento atendimento premium.
PRD0049,Conta Digital Essencial 4,conta_corrente,conta_digital,varejo,baixo,16.91,23.83,0.00,0,false,false,true,2021-07-08,Conta Digital Essencial 4 com foco em varejo e suporte ao segmento conta corrente.
PRD0050,Conta Premium Signature 4,conta_corrente,conta_premium,alta_renda,baixo,16.80,0.00,20300.68,0,false,false,false,2018-10-11,Conta Premium Signature 4 com foco em alta_renda e suporte ao segmento conta corrente.
